Service,Beds,Admissions,Outpatient Visits,Births,Personnel,Total Expenditure
1,244,9731,103595,1217,1224,71691
1,352,14974,110754,2641,1704,155097
1,366,7284,181430,790,815,55926
1,194,5356,48413,520,712,42104
1,109,458,26770,35,156,6428
1,285,11624,599315,1168,1769,127796
1,175,8080,200048,793,875,65083
1,140,2876,3192,0,308,22324
1,50,404,13468,14,70,2547
1,467,6122,179676,0,1618,114160
1,80,823,10409,0,244,8086
1,160,6584,91769,776,525,45492
1,106,3870,53424,451,472,24529
1,99,3313,30814,145,297,16296
1,133,6306,172253,1284,847,55663
1,138,2764,17907,1,234,32936
1,88,4112,85800,319,401,29164
1,573,26392,121321,2154,3928,329667
1,44,1497,35357,295,198,17714
1,225,8187,89248,496,1231,84347
1,105,6251,103225,589,545,43323
1,100,5335,172105,806,663,53578
1,186,8184,87453,701,820,76537
1,375,21169,331478,3968,2581,188190
1,495,21327,312733,3655,2534,231187
1,114,538,0,0,251,16083
1,149,1897,69776,0,432,34946
1,129,9507,64109,3063,556,58597
1,149,1589,13721,169,347,14738
1,71,617,48469,66,239,7934
1,256,7203,107440,827,973,88779
1,153,6156,4170,570,439,35543
1,70,1609,14630,0,102,4937
1,71,3477,238060,342,885,53307
1,243,5667,161912,494,549,43013
1,62,1256,68886,0,330,29581
1,219,9275,42058,0,1471,160226
1,54,143,3224,0,75,3043
1,24,1503,105101,286,262,21939
1,151,1764,27889,235,328,17395
1,160,3228,29179,339,377,26343
1,262,3689,57144,398,575,36112
1,296,14018,139741,1275,1916,156543
1,671,37375,119462,5699,2620,239458
1,184,7699,53313,1364,571,56221
1,249,7931,88869,714,703,45034
1,157,2018,102547,0,535,46804
1,375,11821,184144,779,1330,102559
1,123,4093,36172,0,370,36922
1,457,16987,304839,2202,3123,322786
1,263,19776,362424,3346,2745,196619
1,160,7798,87511,1071,815,68084
1,69,2814,64651,352,576,35452
1,153,3611,69833,254,502,24702
1,479,4848,262583,699,728,55313
1,973,24753,339009,2462,4087,343160
1,440,21004,550588,3311,3012,275305
1,51,111,1257,0,68,2435
1,347,19026,287498,4207,3090,180781
1,141,4080,54460,339,576,31187
1,115,2030,32678,130,284,13706
1,50,944,14995,91,145,6885
1,261,10112,86607,1143,2312,155709
1,85,3233,67906,509,415,26229
1,357,14900,279079,1026,1779,143322
1,139,4014,59061,447,453,36847
1,60,3108,202739,1161,437,27790
1,105,7528,98805,922,609,48914
1,114,6685,27365,562,647,48855
1,73,568,11443,78,61,6148
1,314,8408,289471,0,2074,176241
1,350,17484,196534,2122,2232,173817
1,74,1426,85674,0,409,41680
1,152,5373,65824,710,741,38863
1,317,14275,162753,1165,1625,131696
1,43,1438,287501,466,538,43490
1,269,11508,172047,1106,789,84731
1,79,4044,83963,376,395,39452
1,181,3217,169698,0,956,71806
1,122,2938,65898,637,362,26355
1,97,2481,62150,352,229,15241
1,169,5348,64834,447,396,38483
1,407,16466,134581,1227,2256,148287
1,160,6504,30246,963,731,54167
1,117,12209,813369,3038,1477,118076
1,370,8974,53406,868,939,80866
1,123,4085,56073,1189,392,31770
1,380,16647,31412,2849,3516,241842
1,149,8479,209595,1728,785,56095
1,112,7260,163261,2171,607,43977
1,61,2730,59584,364,273,23025
1,260,13943,138404,2993,1379,97659
1,350,12132,100323,0,1108,96458
1,121,7894,85585,1964,583,46491
1,206,4567,107027,601,514,39836
1,70,2089,24369,387,216,17257
1,334,15696,102641,1946,1593,168045
1,190,6395,244254,545,1055,79859
1,170,7244,167454,838,834,58247
1,73,352,9714,51,104,4565
0,56,860,5778,0,96,7079
0,88,2662,6533,0,167,9617
0,488,508,0,0,568,26298
0,60,1247,35955,0,243,20151
0,342,1259,0,0,790,28246
0,214,794,0,0,494,21517
0,80,746,10074,0,111,4861
0,40,859,2251,0,94,4663
0,485,4112,109270,0,1298,103822
0,64,1785,7749,0,126,8723
0,62,883,5850,0,85,5283
0,427,592,0,0,864,53604
0,40,1049,0,0,66,4479
0,1297,1407,5551,0,1849,73334
0,69,1666,6376,0,262,14307
0,206,1499,0,0,611,21260
0,100,510,935,0,160,2082
0,100,2271,13405,0,202,17874
0,260,163,56662,0,808,50850
0,34,213,0,0,50,4861
0,612,3378,129088,0,1358,104009
0,334,4410,109111,0,1124,80088
0,228,515,0,0,336,27911
0,189,1076,0,0,338,27683
0,164,1132,42432,0,261,12990
0,602,570,0,0,948,62703
0,53,1963,848,0,153,6584
0,65,3246,51167,0,144,14183
0,80,1266,3813,0,102,6026
0,100,767,5742,0,106,6390
0,219,2161,14923,0,630,31366
0,122,441,0,0,399,15321
